Vehicle_ID,Timestamp,Network_Type,Topology,Speed_kmh,Vehicle_Density_vehicles_km2,Signal_Strength_dBm,Distance_to_Receiver_m,CPU_Utilization_pct,Memory_Utilization_pct,Bandwidth_Utilization_pct,Network_Traffic_Mbps,Channel_Interference_pct,Interface_Errors,Active_Connections,Latency_ms,Packet_Loss_pct,Throughput_Mbps,Connection_Drops,Network_Issue
52,2026-08-01 00:00:00,5G,Urban,81.08,58.26,-64.44,182.59,55.5,51.84,52.85,75.81,31.18,1,114,78.47,2.23,59.77,1,0
93,2026-08-01 00:01:00,5G,Highway,105.57,65.82,-97.48,73.66,89.23,69.91,49.03,64.5,39.09,2,168,82.53,2.33,61.62,0,0
15,2026-08-01 00:02:00,WiFi,Grid,90.48,123.56,-54.76,91.16,77.12,43.81,52.75,99.65,44.51,4,159,116.96,5.26,44.18,1,1
72,2026-08-01 00:03:00,5G,Urban,113.99,46.51,-59.21,34.68,58.68,45.39,37.73,68.48,25.31,2,110,47.26,5.12,73.26,1,0
61,2026-08-01 00:04:00,5G,Highway,59.4,161.75,-63.11,106.05,42.88,50.59,82.07,105.4,52.4,5,145,125.02,5.53,24.9,3,1
21,2026-08-01 00:05:00,4G,Highway,50.42,44.32,-46.86,249.15,34.96,63.69,76.69,66.34,26.9,4,84,141.76,5.64,49.15,6,0
83,2026-08-01 00:06:00,5G,Highway,52.29,5.0,-80.11,50.7,79.36,19.33,38.55,36.61,7.09,1,131,60.43,1.22,55.35,0,0
87,2026-08-01 00:07:00,5G,Highway,100.46,58.68,-83.99,133.55,32.32,62.72,48.11,74.05,20.79,2,60,68.67,0.69,46.59,0,0
75,2026-08-01 00:08:00,5G,Urban,44.1,99.27,-60.49,39.08,34.63,16.96,46.96,69.05,15.05,3,141,89.14,1.58,54.3,0,0
75,2026-08-01 00:09:00,5G,Grid,85.73,90.46,-79.35,110.49,99.0,55.73,28.44,46.27,29.21,0,161,101.3,3.36,65.35,2,0
88,2026-08-01 00:10:00,WiFi,Highway,37.92,92.32,-43.0,192.4,54.03,45.18,64.96,104.45,27.64,6,142,122.2,5.16,48.39,1,0
100,2026-08-01 00:11:00,4G,Highway,38.43,73.92,-78.4,113.05,99.0,25.17,37.17,66.35,15.26,2,157,62.69,2.01,57.67,1,0
