Feature,Importance
numeric__Packet_Loss_pct,0.17319834057998426
numeric__Latency_ms,0.1621284470044251
numeric__Channel_Interference_pct,0.10167806751623307
numeric__Vehicle_Density_vehicles_km2,0.10105267082793541
numeric__Bandwidth_Utilization_pct,0.08743636043485133
numeric__Throughput_Mbps,0.08209386356080585
numeric__CPU_Utilization_pct,0.04413446825846918
numeric__Signal_Strength_dBm,0.03805264426661799
numeric__Distance_to_Receiver_m,0.03540583680066227
numeric__Memory_Utilization_pct,0.03471395091783926
numeric__Active_Connections,0.03137498147048878
numeric__Speed_kmh,0.02742965584598583
numeric__Network_Traffic_Mbps,0.026444042508143195
numeric__Connection_Drops,0.018607546430788328
numeric__Interface_Errors,0.017962024091889413
categorical__Topology_Urban,0.00398970051808117
categorical__Network_Type_5G,0.0035928728126828854
categorical__Topology_Highway,0.0035526606880843616
categorical__Network_Type_4G,0.0031638707083691047
categorical__Topology_Grid,0.0024644260282306344
categorical__Network_Type_WiFi,0.0015235687294324778
